### card_data
1,2,明智光秀,明智みスフィで,明智みｽﾌｨで,あけちみつひで,3,0,2,4,5,7400,7200,8000,6000,9000,0,0,93,0,0,0,123,0,58,199,10,11,14,12,18,123,1000,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,4,4,1,4,4,4,4,4,4,4,0,0,0,MSG_CARD_CHARACTER_001_LINES,MSG_CARD_CHARACTER_001_HISTORY,MSG_CARD_CHARACTER_001_SLOGAN,2001,0,0,1,1,1,1,1
2,24,石田三成,石田みつニャり,石田みつﾆｬり,いしだみつなり,3,0,24,1,5,6700,8400,7200,6300,8000,0,123,0,0,143,8,0,166,0,0,13,18,10,10,15,143,1000,1,1,0,0,1,0,0,1,1,0,0,1,0,0,2,0,0,0,0,1,4,4,1,4,4,1,4,4,4,4,0,0,0,MSG_CARD_CHARACTER_002_LINES,MSG_CARD_CHARACTER_002_HISTORY,MSG_CARD_CHARACTER_002_SLOGAN,2002,0,0,1,1,1,1,1
3,34,上杉謙信,上杉ニャンしん,上杉ﾆｬﾝしん,うえすぎけんしん,4,0,34,0,6,9700,7500,8400,7700,9100,0,0,0,0,68,138,128,143,88,0,20,13,16,13,15,189,1000,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,4,4,4,4,4,4,4,4,4,4,1,0,0,0,MSG_CARD_CHARACTER_003_LINES,MSG_CARD_CHARACTER_003_HISTORY,MSG_CARD_CHARACTER_003_SLOGAN,1001,0,0,1,1,1,1,1
4,40,お市の方,おミーちの方,おﾐｰちの方,おいちのかた,4,0,40,3,6,7400,8400,8200,9800,7300,0,0,0,0,38,138,113,48,173,0,14,16,16,20,14,38,1000,1,0,0,0,0,1,0,1,0,0,0,0,0,0,4,0,0,0,0,4,4,4,4,4,4,1,4,4,4,4,0,0,0,MSG_CARD_CHARACTER_004_LINES,MSG_CARD_CHARACTER_004_HISTORY,MSG_CARD_CHARACTER_004_SLOGAN,1002,0,0,1,1,1,1,1
5,50,織田信長,織田のぶニャが,織田のぶﾆｬが,おだのぶなが,4,0,50,0,6,9600,9100,8700,6200,8300,0,0,0,0,0,58,68,123,143,98,18,15,15,15,15,190,1000,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,0,0,0,MSG_CARD_CHARACTER_005_LINES,MSG_CARD_CHARACTER_005_HISTORY,MSG_CARD_CHARACTER_005_SLOGAN,1003,0,0,1,1,1,1,1
6,86,雑賀孫一,雑賀ミャーゴいち,雑賀ﾐｬｰｺﾞいち,さいかまごいち,3,0,86,0,6,9700,8400,7500,7200,8100,0,0,28,0,68,58,98,0,181,0,20,18,15,12,15,68,1000,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,4,4,1,4,4,2,4,4,4,4,0,0,0,MSG_CARD_CHARACTER_006_LINES,MSG_CARD_CHARACTER_006_HISTORY,MSG_CARD_CHARACTER_006_SLOGAN,2003,0,0,1,1,1,1,1
7,100,真田幸村,さニャだ幸村,さﾆｬだ幸村,さなだゆきむら,4,0,100,0,5,9400,7000,7200,7500,8000,0,0,0,0,88,23,83,165,182,0,18,9,9,12,10,88,1000,1,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,1,4,4,1,2,4,3,4,4,4,2,0,0,0,MSG_CARD_CHARACTER_007_LINES,MSG_CARD_CHARACTER_007_HISTORY,MSG_CARD_CHARACTER_007_SLOGAN,1004,0,0,1,1,1,1,1
8,109,島津義弘,シャムづ義弘,ｼｬﾑづ義弘,しまづよしひろ,4,0,109,1,6,9000,9300,7900,8100,8200,0,0,0,0,333,13,138,328,143,0,18,20,14,10,15,169,1000,1,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,4,4,4,4,4,4,2,4,1,4,4,0,0,1,MSG_CARD_CHARACTER_008_LINES,MSG_CARD_CHARACTER_008_HISTORY,MSG_CARD_CHARACTER_008_SLOGAN,1005,0,0,1,1,1,1,1
9,123,武田信玄,ミケだ信玄,ﾐｹだ信玄,たけだしんげん,4,0,123,4,6,9100,8600,8300,8100,9800,0,0,0,0,0,353,138,83,143,68,15,14,10,15,20,204,1000,1,1,0,0,1,0,0,1,0,0,0,0,0,0,5,0,0,0,0,4,4,4,4,4,4,1,4,4,4,4,0,0,0,MSG_CARD_CHARACTER_009_LINES,MSG_CARD_CHARACTER_009_HISTORY,MSG_CARD_CHARACTER_009_SLOGAN,1006,0,0,1,1,1,1,1
10,130,伊達政宗,伊達まシャムね,伊達まｼｬﾑね,だてまさむね,4,0,130,2,6,9100,7300,9200,8500,7800,0,0,0,0,113,58,123,143,93,0,18,11,20,15,14,195,1000,1,1,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,4,4,4,4,4,4,1,4,4,4,4,0,0,0,MSG_CARD_CHARACTER_010_LINES,MSG_CARD_CHARACTER_010_HISTORY,MSG_CARD_CHARACTER_010_SLOGAN,1007,0,0,1,1,1,1,1
11,134,長宗我部元親,ちょうソマリ元親,ちょうｿﾏﾘ元親,ちょうそかべもとちか,4,0,134,3,6,9400,8600,8200,9600,8700,0,0,0,0,323,383,28,398,395,0,18,16,12,20,15,323,1000,1,1,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,4,4,4,4,4,4,1,4,4,4,4,0,0,0,MSG_CARD_CHARACTER_011_LINES,MSG_CARD_CHARACTER_011_HISTORY,MSG_CARD_CHARACTER_011_SLOGAN,1019,0,0,1,1,1,1,1
12,139,鶴姫,鶴姫ニャン,鶴姫ﾆｬﾝ,つるひめ,3,0,139,3,5,7700,6800,7100,8600,6500,0,0,0,0,38,0,78,118,0,0,15,12,12,16,10,170,1000,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,4,4,1,4,4,4,4,4,4,4,0,0,0,MSG_CARD_CHARACTER_012_LINES,MSG_CARD_CHARACTER_012_HISTORY,MSG_CARD_CHARACTER_012_SLOGAN,2005,0,0,1,1,1,1,1
13,141,徳川家康,とくニャわ家康,とくﾆｬわ家康,とくがわいえやす,4,0,141,3,6,7000,9800,6500,9900,8800,0,0,0,0,0,143,318,13,58,93,12,15,16,19,16,176,1000,1,0,1,0,0,1,0,1,0,0,0,0,0,0,4,0,0,0,0,4,4,4,4,4,4,2,4,4,4,4,0,0,0,MSG_CARD_CHARACTER_013_LINES,MSG_CARD_CHARACTER_013_HISTORY,MSG_CARD_CHARACTER_013_SLOGAN,1008,0,0,1,1,1,1,1
14,146,豊臣秀吉,とよとミー秀吉,とよとﾐｰ秀吉,とよとみひでよし,4,0,146,2,6,7400,8300,9900,8900,9200,0,0,0,0,133,123,108,98,192,0,16,15,19,10,16,133,1000,1,1,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,4,4,4,4,4,4,1,4,4,4,4,0,0,0,MSG_CARD_CHARACTER_014_LINES,MSG_CARD_CHARACTER_014_HISTORY,MSG_CARD_CHARACTER_014_SLOGAN,1009,0,0,1,1,1,1,1
15,149,直江兼続,ニャオえ兼続,ﾆｬｵえ兼続,なおえかねつぐ,3,0,149,4,5,7200,6500,7200,7000,8600,0,333,0,0,138,0,28,200,0,0,12,10,14,10,20,0,1000,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,4,4,1,4,4,4,4,4,4,4,0,0,0,MSG_CARD_CHARACTER_015_LINES,MSG_CARD_CHARACTER_015_HISTORY,MSG_CARD_CHARACTER_015_SLOGAN,2006,0,0,1,1,1,1,1
16,157,濃姫,濃姫ニャン,濃姫ﾆｬﾝ,のうひめ,4,0,157,3,5,8100,7300,8000,8400,7100,0,0,0,0,123,58,98,172,28,0,11,10,11,18,10,123,1000,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,0,0,0,MSG_CARD_CHARACTER_016_LINES,MSG_CARD_CHARACTER_016_HISTORY,MSG_CARD_CHARACTER_016_SLOGAN,1010,0,0,1,1,1,1,1
17,169,北条氏康,北条うじニャす,北条うじﾆｬす,ほうじょううじやす,3,0,169,1,6,9200,9500,8100,8500,8200,0,0,0,0,0,138,308,143,68,0,16,20,14,14,12,168,1000,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,2,4,4,2,4,4,4,4,4,4,4,0,0,0,MSG_CARD_CHARACTER_017_LINES,MSG_CARD_CHARACTER_017_HISTORY,MSG_CARD_CHARACTER_017_SLOGAN,2007,0,0,1,1,1,1,1
18,177,前田慶次,まえニャ慶次,まえﾆｬ慶次,まえだけいじ,4,0,177,2,6,9600,8200,9700,7800,6700,0,0,0,0,63,118,3,73,193,0,18,14,20,12,15,63,1000,1,1,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,4,4,4,4,4,4,1,4,4,4,4,0,0,0,MSG_CARD_CHARACTER_018_LINES,MSG_CARD_CHARACTER_018_HISTORY,MSG_CARD_CHARACTER_018_SLOGAN,1011,0,0,1,1,1,1,1
19,181,宮本武蔵,ミャーもと武蔵,ﾐｬｰもと武蔵,みやもとむさし,4,0,181,0,8,10000,9000,9400,9400,9200,0,0,0,0,103,73,113,390,389,183,20,20,20,20,20,103,1000,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,4,4,4,4,4,1,4,4,4,4,0,0,0,MSG_CARD_CHARACTER_019_LINES,MSG_CARD_CHARACTER_019_HISTORY,MSG_CARD_CHARACTER_019_SLOGAN,1021,0,0,1,1,1,1,1
20,187,毛利元就,毛利もとニャり,毛利もとﾆｬり,もうりもとなり,3,0,187,4,6,6800,7100,7700,7600,9500,0,0,63,0,0,0,133,0,143,170,16,18,14,15,20,205,1000,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,3,4,4,3,4,4,4,4,4,4,4,0,0,0,MSG_CARD_CHARACTER_020_LINES,MSG_CARD_CHARACTER_020_HISTORY,MSG_CARD_CHARACTER_020_SLOGAN,2009,0,0,1,1,1,1,1
21,3,浅井長政,浅井ニャがまさ,浅井ﾆｬがまさ,あさいながまさ,4,0,3,1,6,9000,9400,8300,8500,7500,0,0,0,0,13,343,8,138,164,0,16,20,14,14,13,13,1000,1,1,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,4,4,4,4,4,4,1,4,4,4,4,0,0,0,MSG_CARD_CHARACTER_021_LINES,MSG_CARD_CHARACTER_021_HISTORY,MSG_CARD_CHARACTER_021_SLOGAN,1012,0,0,1,1,1,1,1
