### skill_base_data
0,なし,なし,（なし）,なし,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,攻撃,攻撃,こうげき,武器で近接攻撃する。,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,射撃,射撃,しゃげき,武器で遠距離から攻撃する。,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,ねこじゃらし,ねこじゃらし,ねこじゃらし,一定の確率で、敵１体の注意を引きつける。,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,31,0,0,0,0,0,0
4,守護,守護,しゅご,味方への攻撃を一定の確率でかばう。[自動],2,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,31,0,0,0,0,0,0
5,底力,底力,そこぢから,兵力が少なくなるほど防御力が上がる。[自動],2,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,31,0,0,0,0,0,0
6,竹束,竹束,たけたば,鉄砲攻撃によるダメージを減らす。[自動],2,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,31,0,0,0,0,0,0
7,馬廻衆,馬廻衆,うままわりしゅう,総大将ではないとき、防御力が上がる。[自動],2,2,4,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,2,31,0,0,0,0,0,0
8,援護射撃,援護射撃,えんごしゃげき,瀕死の味方が攻撃されると、一定の確率で反撃する。[自動],2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,31,0,0,0,0,0,0
9,ねこまんま,ねこまんま,ねこまんま,自身の兵力が回復する。,4,4,3,0,0,0,0,1,30,0,0,0,0,0,0,0,0,1,4,7,31,0,0,0,0,0,0
10,治療,治療,ちりょう,味方１体の兵力が回復する。,4,4,3,0,0,0,0,1,30,0,0,0,0,0,0,0,0,1,4,7,31,0,0,0,0,0,0
11,陣中見舞,陣中見舞,じんちゅうみまい,自身と周囲の味方の兵力が回復する。,4,4,3,0,0,0,0,1,30,0,0,0,0,0,0,0,0,1,4,7,31,0,0,0,0,0,0
12,活法,活法,かっぽう,回復力が上がる。[自動],4,3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,31,0,0,0,0,0,0
13,小荷駄,小荷駄,こにだ,離れた味方１体の兵力が回復する。,4,4,3,0,0,0,0,1,30,0,0,0,0,0,0,0,0,1,4,7,31,0,0,0,0,0,0
14,雨火縄,雨火縄,あめひなわ,雨の影響を抑えて鉄砲攻撃ができる。[自動],4,3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,31,0,0,0,0,0,0
15,安宅船,安宅船,あたけぶね,水の上を移動できる。[自動],4,3,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,31,0,0,0,0,0,0
16,二天一流・改,二天一流・改,にてんいちりゅうかい,攻撃力と策略が大きく上がる。[自動],1,3,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,31,0,0,0,0,0,0
